"","ID","dcc_mean","ciri2_mean"
"1","chr1:101028250-101029473",1.86666666666667,1.73333333333333
"2","chr1:104696204-104750940",1.53333333333333,1.6
"3","chr1:104792188-104821976",3.93333333333333,6.8
"4","chr1:114304821-114311513",2.33333333333333,2.4
"5","chr1:12128638-12134025",2.13333333333333,2.2
"6","chr1:12128638-12158667",2.53333333333333,2.33333333333333
"7","chr1:12452484-12454601",1.26666666666667,1.8
"8","chr1:126188351-126195625",3.73333333333333,4.73333333333333
"9","chr1:126573474-126583015",10.2,18.7333333333333
"10","chr1:127025462-127025957",5.26666666666667,22.6
"11","chr1:127238866-127255047",2.2,2
"12","chr1:128239552-128242835",2.2,2.73333333333333
"13","chr1:128239552-128243030",12.5333333333333,20.3333333333333
"14","chr1:128625388-128637195",1.13333333333333,1.06666666666667
"15","chr1:128978104-128978649",4.6,5.53333333333333
"16","chr1:13262070-13268495",1.46666666666667,2
"17","chr1:134843160-134848903",4.6,5.6
"18","chr1:135860270-135871550",1.8,2.13333333333333
"19","chr1:137247124-137264458",5,7.73333333333333
"20","chr1:139943398-139956356",15.6666666666667,17.8666666666667
"21","chr1:140131618-140142798",4.26666666666667,5.33333333333333
"22","chr1:141877382-141880461",1.4,1.46666666666667
"23","chr1:142556681-142565170",1.26666666666667,1
"24","chr1:142849916-142852148",3.66666666666667,7.33333333333333
"25","chr1:143143055-143143524",3.73333333333333,4.53333333333333
"26","chr1:143712491-143718900",4.8,5.73333333333333
"27","chr1:143712491-143723739",6.53333333333333,8.6
"28","chr1:150830996-150887461",1.53333333333333,2.4
"29","chr1:150887401-150961642",3.13333333333333,4.66666666666667
"30","chr1:150937283-150961642",1.4,1.66666666666667
"31","chr1:154405931-154411147",1.26666666666667,1.53333333333333
"32","chr1:154405931-154425509",4.13333333333333,4.86666666666667
"33","chr1:154405931-154447475",5.53333333333333,9.46666666666667
"34","chr1:154439745-154447475",3,5.13333333333333
"35","chr1:15488392-15494771",11.5333333333333,19.4666666666667
"36","chr1:157470071-157490006",1.26666666666667,2.66666666666667
"37","chr1:161928871-161932898",1.93333333333333,1.93333333333333
"38","chr1:162688794-162693133",0.933333333333333,0.8
"39","chr1:164025518-164064815",5.66666666666667,21.0666666666667
"40","chr1:164046102-164064815",5.13333333333333,22.9333333333333
"41","chr1:164561999-164565992",0.533333333333333,0.266666666666667
"42","chr1:164931730-164947123",22.5333333333333,31.6666666666667
"43","chr1:165414771-165415667",3.13333333333333,4.6
"44","chr1:165646261-165654319",4.73333333333333,13.6666666666667
"45","chr1:166208849-166259335",3.06666666666667,2.8
"46","chr1:166351174-166368428",11.2,22.4
"47","chr1:166378662-166385907",5.93333333333333,8.26666666666667
"48","chr1:169534353-169534828",0.333333333333333,0.266666666666667
"49","chr1:170450030-170450980",1.33333333333333,1.33333333333333
"50","chr1:174165890-174174250",2.4,2.46666666666667
"51","chr1:174609600-174613577",3.86666666666667,4.73333333333333
"52","chr1:174772242-174778064",0.866666666666667,0.733333333333333
"53","chr1:175171303-175218889",1.6,1.8
"54","chr1:175700307-175720685",2.66666666666667,3.26666666666667
"55","chr1:177129021-177130995",1.4,1.53333333333333
"56","chr1:177569617-177569872",2.33333333333333,2.46666666666667
"57","chr1:184008119-184017761",1.6,2.4
"58","chr1:1841452-1846589",1.93333333333333,3.13333333333333
"59","chr1:185261106-185267832",2.46666666666667,4
"60","chr1:185263914-185267832",3.06666666666667,4.13333333333333
"61","chr1:18644225-18694013",1.06666666666667,1.33333333333333
"62","chr1:188510274-188516444",2.46666666666667,3.73333333333333
"63","chr1:190980864-190991049",26.4666666666667,75.6666666666667
"64","chr1:192952650-192955267",4.26666666666667,7.93333333333333
"65","chr1:198429807-198432232",2.53333333333333,2.73333333333333
"66","chr1:198932174-198934500",2.13333333333333,5.46666666666667
"67","chr1:198994747-198995342",4.26666666666667,6.53333333333333
"68","chr1:200606971-200615170",2,2.8
"69","chr1:201183051-201188802",3.53333333333333,6.33333333333333
"70","chr1:201442093-201451005",1.2,3.93333333333333
"71","chr1:203272587-203286711",4.46666666666667,11.3333333333333
"72","chr1:204761727-204780713",1.73333333333333,2
"73","chr1:204958606-204961691",1.86666666666667,1.73333333333333
"74","chr1:204959155-204961691",2.2,2.26666666666667
"75","chr1:204959173-204961691",24.6,64.8
"76","chr1:204960841-204980121",3.73333333333333,5.2
