"","ID","dcc_mean","ciri2_mean"
"1","chr1:101028250-101029473",1.86666666666667,1.73333333333333
"2","chr1:102613968-102660697",1.2,1.33333333333333
"3","chr1:104785950-104795565",2.2,2.8
"4","chr1:104792188-104821976",3.93333333333333,6.8
"5","chr1:114304821-114311513",2.33333333333333,2.4
"6","chr1:12128638-12134025",2.13333333333333,2.2
"7","chr1:126188351-126195625",3.73333333333333,4.73333333333333
"8","chr1:126573474-126583015",10.2,18.7333333333333
"9","chr1:127025462-127025957",5.26666666666667,22.6
"10","chr1:127238866-127255047",2.2,2
"11","chr1:128239552-128242835",2.2,2.73333333333333
"12","chr1:128239552-128243030",12.5333333333333,20.3333333333333
"13","chr1:128978104-128978649",4.6,5.53333333333333
"14","chr1:134843160-134848903",4.6,5.6
"15","chr1:136017017-136017482",1.13333333333333,1.06666666666667
"16","chr1:137247124-137264458",5,7.73333333333333
"17","chr1:139943398-139956356",15.6666666666667,17.8666666666667
"18","chr1:140131618-140142798",4.26666666666667,5.33333333333333
"19","chr1:140131618-140158228",2,3.4
"20","chr1:142573744-142576627",1.73333333333333,1.53333333333333
"21","chr1:142849916-142852148",3.66666666666667,7.33333333333333
"22","chr1:143143055-143143524",3.73333333333333,4.53333333333333
"23","chr1:143712491-143718900",4.8,5.73333333333333
"24","chr1:143712491-143723739",6.53333333333333,8.6
"25","chr1:146108193-146109307",0.466666666666667,0.4
"26","chr1:150830996-150846872",2.2,5.13333333333333
"27","chr1:150830996-150887461",1.53333333333333,2.4
"28","chr1:150887401-150961642",3.13333333333333,4.66666666666667
"29","chr1:150937283-150961642",1.4,1.66666666666667
"30","chr1:154405931-154425509",4.13333333333333,4.86666666666667
"31","chr1:154405931-154447475",5.53333333333333,9.46666666666667
"32","chr1:154406807-154418787",2.2,2.8
"33","chr1:154439745-154447475",3,5.13333333333333
"34","chr1:15488392-15494771",11.5333333333333,19.4666666666667
"35","chr1:15488392-15526167",2.06666666666667,2.86666666666667
"36","chr1:15488392-15567557",1.06666666666667,1.06666666666667
"37","chr1:163203870-163216364",3.66666666666667,6.8
"38","chr1:164025518-164055455",0.6,0.6
"39","chr1:164025518-164064815",5.66666666666667,21.0666666666667
"40","chr1:164046102-164064815",5.13333333333333,22.9333333333333
"41","chr1:164367968-164380890",0.8,0.8
"42","chr1:164931730-164947123",22.5333333333333,31.6666666666667
"43","chr1:165414771-165415667",3.13333333333333,4.6
"44","chr1:165646261-165654319",4.73333333333333,13.6666666666667
"45","chr1:166342480-166368428",1.86666666666667,2.26666666666667
"46","chr1:166351174-166368428",11.2,22.4
"47","chr1:166378662-166385907",5.93333333333333,8.26666666666667
"48","chr1:167260358-167276543",2.13333333333333,2
