"ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"chr10:57634023-57634588",9.20256713864812,1.19375384670265,0.587512591654924,2.03187789276149,0.0421660190978301,0.396519440500503
"chr17:5524117-5530105",2.22401875718373,-1.33291096186601,1.52694519792019,-0.872926522629321,0.382703128722465,NA
"chr17:5537447-5571375",2.2658337058964,-0.0291398958331272,1.27780349126154,-0.0228046769572981,0.981806077323569,NA
"chr2:45801786-45859187",4.30319383895652,0.974886231547846,0.810053775022679,1.20348335086834,0.228789330350862,0.770913369450769
"chr1:198429807-198432232",2.58689165004355,-0.4992081941655,1.34963372571526,-0.369884202397902,0.711468772651179,0.952426474702384
"chr9:110908611-110925546",2.80420109782537,1.30448465601251,1.19594411321952,1.0907572031111,0.275379732574175,0.811742575590166
"chr11:14700873-14721315",1.58146909571221,1.87063477303446,2.01034815634891,0.930502891813432,0.352110767564751,NA
"chr16:26628565-26633439",7.48851945254692,0.0476240493678537,0.622605390503236,0.0764915468036028,0.93902803894697,0.988164931540568
"chr9:50898458-50906966",2.1828191527911,-0.741574155073597,1.57735380206995,-0.470138122531823,0.638256339035743,NA
"chr9:71915420-71927987",2.11385492317694,1.4269758662799,1.68963377808001,0.84454743080564,0.398363570628352,NA
"chr7:41322521-41326655",0.273611905633473,-1.33983415838663,2.46260914698115,-0.544070974490245,0.586392633228064,NA
"chr4:181396179-181412674",2.63243843598272,-1.60173817083836,1.28469633138878,-1.24678348626313,0.212476897155105,0.762131158907115
"chr1:221065774-221067559",1.91154682449092,-2.01092940276104,1.73928703864483,-1.15618029576525,0.247607417747322,NA
"chr5:105114416-105114740",8.49336892424711,0.705510837945635,0.594670299643596,1.18638990104007,0.235468358066611,0.782271967610318
"chr6:871525-894714",6.28396331647409,1.66218953182098,0.685822737936791,2.42364307841624,0.015365699064497,0.270747507566834
"chr3:3399474-3414759",1.73481916045307,1.75975810725282,1.89494236853187,0.92866048935104,0.353065062951675,NA
"chr15:4124785-4129118",0.240319250409938,1.819873860899,2.20831482813461,0.824100729530609,0.409882325676585,NA
"chr5:136437825-136510629",1.57599983290175,2.66350719687239,2.02935305372858,1.31249079206729,0.189354590851444,NA
